Postcode,Number of polluting facilities,Total emissions in the air (kg),Level of pollution
3236,0,0,No polluting facilities
3237,0,0,No polluting facilities
3238,0,0,No polluting facilities
3239,0,0,No polluting facilities
3240,1,70001.189,Medium
3241,0,0,No polluting facilities
3242,0,0,No polluting facilities
3243,0,0,No polluting facilities
3249,1,54181.183,Medium
3250,3,17996.10658,Medium
3251,0,0,No polluting facilities
3254,0,0,No polluting facilities
3260,0,0,No polluting facilities
3264,1,18439.04,Medium
3265,0,0,No polluting facilities
3266,2,37728.55076,Medium
3267,0,0,No polluting facilities
3268,0,0,No polluting facilities
3269,4,1107601.712,High
3270,0,0,No polluting facilities
3271,0,0,No polluting facilities
3272,2,573765.4652,High
3273,0,0,No polluting facilities
3274,0,0,No polluting facilities
3275,0,0,No polluting facilities
3276,0,0,No polluting facilities
3277,2,63265.25776,Medium
3278,0,0,No polluting facilities
3279,0,0,No polluting facilities
3280,4,2032226.679,High
3281,0,0,No polluting facilities
3282,2,96383.606,Medium
3283,0,0,No polluting facilities
3284,1,1500.58,Low
3285,0,0,No polluting facilities
3286,0,0,No polluting facilities
3287,0,0,No polluting facilities
3289,0,0,No polluting facilities
3292,0,0,No polluting facilities
3293,0,0,No polluting facilities
3294,0,0,No polluting facilities
3300,3,93485.41954,Medium
3301,0,0,No polluting facilities
3302,1,16518.30577,Medium
3303,1,24467.56,Medium
3304,0,0,No polluting facilities
3305,5,5055920.786,High
3309,0,0,No polluting facilities
3310,0,0,No polluting facilities
3311,0,0,No polluting facilities
3312,0,0,No polluting facilities
3314,0,0,No polluting facilities
3315,0,0,No polluting facilities
3317,0,0,No polluting facilities
3318,0,0,No polluting facilities
3319,0,0,No polluting facilities
3321,0,0,No polluting facilities
3322,0,0,No polluting facilities
3323,0,0,No polluting facilities
3324,0,0,No polluting facilities
3325,0,0,No polluting facilities
3328,0,0,No polluting facilities
3329,0,0,No polluting facilities
3330,0,0,No polluting facilities
3331,0,0,No polluting facilities
3332,0,0,No polluting facilities
3333,0,0,No polluting facilities
3334,0,0,No polluting facilities
3335,0,0,No polluting facilities
3337,2,24904.13,Medium
3338,0,0,No polluting facilities
3340,2,1168255.302,High
3341,0,0,No polluting facilities
3342,0,0,No polluting facilities
3345,0,0,No polluting facilities
3350,6,231825.0656,Medium
3351,1,8494.44792,Low
3352,1,75657.908,Medium
3355,4,78601.97444,Medium
3356,1,2505.814353,Low
3357,0,0,No polluting facilities
3360,1,8369,Low
3361,0,0,No polluting facilities
3363,0,0,No polluting facilities
3364,0,0,No polluting facilities
3370,0,0,No polluting facilities
3371,0,0,No polluting facilities
3373,0,0,No polluting facilities
3374,0,0,No polluting facilities
3375,0,0,No polluting facilities
3377,1,229.8953764,Low
3378,0,0,No polluting facilities
3379,0,0,No polluting facilities
3380,2,179551.126,Medium
3381,0,0,No polluting facilities
3384,0,0,No polluting facilities
3385,0,0,No polluting facilities
3387,0,0,No polluting facilities
3388,0,0,No polluting facilities
3390,0,0,No polluting facilities
3391,0,0,No polluting facilities
3392,0,0,No polluting facilities
3393,0,0,No polluting facilities
3395,0,0,No polluting facilities
3396,0,0,No polluting facilities
3400,1,2391.231626,Low
3401,1,802507.32,High
3407,0,0,No polluting facilities
3409,0,0,No polluting facilities
3412,0,0,No polluting facilities
3413,0,0,No polluting facilities
3414,0,0,No polluting facilities
3415,0,0,No polluting facilities
3418,1,3684.403636,Low
3419,0,0,No polluting facilities
3420,0,0,No polluting facilities
3423,0,0,No polluting facilities
3424,0,0,No polluting facilities
3427,0,0,No polluting facilities
3428,0,0,No polluting facilities
3429,1,0.008826678,Low
3430,0,0,No polluting facilities
3431,0,0,No polluting facilities
3432,0,0,No polluting facilities
3433,0,0,No polluting facilities
3434,0,0,No polluting facilities
3435,0,0,No polluting facilities
3437,0,0,No polluting facilities
3438,0,0,No polluting facilities
3440,0,0,No polluting facilities
3441,0,0,No polluting facilities
3442,0,0,No polluting facilities
3444,1,49503.494,Medium
3446,0,0,No polluting facilities
3447,0,0,No polluting facilities
3448,0,0,No polluting facilities
3450,2,33679.95723,Medium
3451,0,0,No polluting facilities
3453,0,0,No polluting facilities
3458,0,0,No polluting facilities
3460,0,0,No polluting facilities
3461,0,0,No polluting facilities
3462,0,0,No polluting facilities
3463,0,0,No polluting facilities
3464,2,35669.87028,Medium
3465,0,0,No polluting facilities
3467,0,0,No polluting facilities
3468,0,0,No polluting facilities
3469,0,0,No polluting facilities
3472,0,0,No polluting facilities
3475,0,0,No polluting facilities
3477,0,0,No polluting facilities
3478,2,26101.81655,Medium
3480,0,0,No polluting facilities
3482,0,0,No polluting facilities
3483,0,0,No polluting facilities
3485,0,0,No polluting facilities
3487,0,0,No polluting facilities
3488,0,0,No polluting facilities
3489,0,0,No polluting facilities
3490,1,3790119.3,High
3491,0,0,No polluting facilities
3494,1,19270.48002,Medium
3496,1,8327.546594,Low
3498,0,0,No polluting facilities
3500,1,5.97974e-4,Low
3501,0,0,No polluting facilities
3505,0,0,No polluting facilities
3506,0,0,No polluting facilities
3507,0,0,No polluting facilities
3509,0,0,No polluting facilities
3512,0,0,No polluting facilities
3515,0,0,No polluting facilities
3516,0,0,No polluting facilities
3517,0,0,No polluting facilities
3518,0,0,No polluting facilities
3520,0,0,No polluting facilities
3521,0,0,No polluting facilities
3522,0,0,No polluting facilities
3523,1,75804.91,Medium
3525,2,243875.8446,Medium
3527,0,0,No polluting facilities
3529,0,0,No polluting facilities
3530,0,0,No polluting facilities
3531,0,0,No polluting facilities
3533,0,0,No polluting facilities
3537,0,0,No polluting facilities
3540,0,0,No polluting facilities
3542,0,0,No polluting facilities
3544,0,0,No polluting facilities
3546,0,0,No polluting facilities
3549,0,0,No polluting facilities
3550,5,37847.66715,Medium
3551,3,60221.63468,Medium
3555,0,0,No polluting facilities
3556,2,10699.2106,Medium
3557,1,664058.259,High
3558,0,0,No polluting facilities
3559,0,0,No polluting facilities
3561,1,208036.122,Medium
3562,0,0,No polluting facilities
3563,0,0,No polluting facilities
3564,5,42645.09225,Medium
3565,0,0,No polluting facilities
3566,1,7503.6,Low
3567,0,0,No polluting facilities
3568,0,0,No polluting facilities
3570,0,0,No polluting facilities
3571,0,0,No polluting facilities
3572,1,4437.57475,Low
3573,0,0,No polluting facilities
3575,0,0,No polluting facilities
3576,0,0,No polluting facilities
3579,1,2.65332e-4,Low
3580,0,0,No polluting facilities
3581,0,0,No polluting facilities
3583,0,0,No polluting facilities
3584,0,0,No polluting facilities
3585,1,14621.2,Medium
3586,0,0,No polluting facilities
3588,0,0,No polluting facilities
3589,0,0,No polluting facilities
3590,0,0,No polluting facilities
3591,0,0,No polluting facilities
3594,0,0,No polluting facilities
3595,0,0,No polluting facilities
3596,0,0,No polluting facilities
3597,0,0,No polluting facilities
3599,0,0,No polluting facilities
3607,0,0,No polluting facilities
3608,0,0,No polluting facilities
3610,0,0,No polluting facilities
3612,0,0,No polluting facilities
3614,0,0,No polluting facilities
3616,3,50987.63859,Medium
3617,0,0,No polluting facilities
3618,0,0,No polluting facilities
3620,1,1838.865326,Low
3621,2,7558.486863,Low
3622,0,0,No polluting facilities
3623,1,20358.4273,Medium
3624,0,0,No polluting facilities
3629,1,15994.716,Medium
3630,4,22906.56233,Medium
3631,5,130572.633,Medium
3633,0,0,No polluting facilities
3634,0,0,No polluting facilities
3635,0,0,No polluting facilities
3636,1,14380.92006,Medium
3637,0,0,No polluting facilities
3638,0,0,No polluting facilities
3639,0,0,No polluting facilities
3640,0,0,No polluting facilities
3641,1,4630.400994,Low
3644,3,89381.27224,Medium
3646,0,0,No polluting facilities
3647,0,0,No polluting facilities
3649,0,0,No polluting facilities
3658,1,4610.656738,Low
3659,0,0,No polluting facilities
3660,2,14328.79106,Medium
3662,0,0,No polluting facilities
3663,0,0,No polluting facilities
3664,0,0,No polluting facilities
3665,0,0,No polluting facilities
3666,1,18074.68292,Medium
3669,0,0,No polluting facilities
3670,0,0,No polluting facilities
3672,1,1421.7,Low
3673,1,59783.52,Medium
3675,0,0,No polluting facilities
3677,4,198599.8262,Medium
3678,2,159180.1784,Medium
3682,1,15704.33417,Medium
3683,0,0,No polluting facilities
3685,0,0,No polluting facilities
3687,1,3780.378194,Low
3688,1,15100,Medium
3690,7,57061.95309,Medium
3691,3,25995.05121,Medium
3694,0,0,No polluting facilities
3695,0,0,No polluting facilities
3697,0,0,No polluting facilities
3698,0,0,No polluting facilities
3699,0,0,No polluting facilities
3700,0,0,No polluting facilities
3701,0,0,No polluting facilities
3704,0,0,No polluting facilities
3705,0,0,No polluting facilities
3707,0,0,No polluting facilities
3708,0,0,No polluting facilities
3709,0,0,No polluting facilities
3711,0,0,No polluting facilities
3712,0,0,No polluting facilities
3713,0,0,No polluting facilities
3714,0,0,No polluting facilities
3715,0,0,No polluting facilities
3717,0,0,No polluting facilities
3718,0,0,No polluting facilities
3719,0,0,No polluting facilities
3720,0,0,No polluting facilities
3722,0,0,No polluting facilities
3723,0,0,No polluting facilities
3725,0,0,No polluting facilities
3726,0,0,No polluting facilities
3727,0,0,No polluting facilities
3728,0,0,No polluting facilities
3730,0,0,No polluting facilities
3732,0,0,No polluting facilities
3733,0,0,No polluting facilities
3735,0,0,No polluting facilities
3737,1,131893.6938,Medium
3738,0,0,No polluting facilities
3739,0,0,No polluting facilities
3740,0,0,No polluting facilities
3741,0,0,No polluting facilities
3744,0,0,No polluting facilities
3746,0,0,No polluting facilities
3747,0,0,No polluting facilities
3749,0,0,No polluting facilities
3750,5,895138.4136,High
3751,0,0,No polluting facilities
3752,0,0,No polluting facilities
3753,0,0,No polluting facilities
3754,0,0,No polluting facilities
3755,0,0,No polluting facilities
3756,0,0,No polluting facilities
3757,0,0,No polluting facilities
3758,0,0,No polluting facilities
3759,0,0,No polluting facilities
3760,0,0,No polluting facilities
3761,0,0,No polluting facilities
3762,0,0,No polluting facilities
3763,0,0,No polluting facilities
3764,1,107524.11,Medium
3765,2,218393.5025,Medium
3766,0,0,No polluting facilities
3767,0,0,No polluting facilities
3770,0,0,No polluting facilities
3775,0,0,No polluting facilities
3777,0,0,No polluting facilities
3778,0,0,No polluting facilities
3779,0,0,No polluting facilities
3781,0,0,No polluting facilities
3782,0,0,No polluting facilities
3783,0,0,No polluting facilities
3785,0,0,No polluting facilities
3786,0,0,No polluting facilities
3787,0,0,No polluting facilities
3788,0,0,No polluting facilities
3789,0,0,No polluting facilities
3791,0,0,No polluting facilities
3792,0,0,No polluting facilities
3793,0,0,No polluting facilities
3795,0,0,No polluting facilities
3796,0,0,No polluting facilities
3797,1,5276.93,Low
3799,0,0,No polluting facilities
3800,0,0,No polluting facilities
3802,0,0,No polluting facilities
3803,0,0,No polluting facilities
3804,0,0,No polluting facilities
3805,1,40696.6283,Medium
3806,1,675.4146625,Low
3807,0,0,No polluting facilities
3808,0,0,No polluting facilities
3809,0,0,No polluting facilities
3810,4,166198.697,Medium
3812,0,0,No polluting facilities
3813,1,159713.238,Medium
3814,0,0,No polluting facilities
3815,0,0,No polluting facilities
3816,0,0,No polluting facilities
3818,0,0,No polluting facilities
3820,1,6789.923971,Low
3821,0,0,No polluting facilities
3822,1,40408.89426,Medium
3823,0,0,No polluting facilities
3824,1,801.4318663,Low
3825,4,39348009.34,High
3831,0,0,No polluting facilities
3832,0,0,No polluting facilities
3833,0,0,No polluting facilities
3835,0,0,No polluting facilities
3840,8,48842361.31,High
3842,0,0,No polluting facilities
3844,8,116372365.8,High
3847,0,0,No polluting facilities
3850,1,899.0466122,Low
3851,4,4761836.789,High
3852,0,0,No polluting facilities
3854,0,0,No polluting facilities
3856,0,0,No polluting facilities
3857,0,0,No polluting facilities
3858,0,0,No polluting facilities
3859,0,0,No polluting facilities
3860,2,240349.843,Medium
3862,0,0,No polluting facilities
3864,0,0,No polluting facilities
3865,0,0,No polluting facilities
3869,1,3.99041e-5,Low
3870,0,0,No polluting facilities
3871,0,0,No polluting facilities
3873,0,0,No polluting facilities
3874,0,0,No polluting facilities
3875,2,88726.42126,Medium
3878,0,0,No polluting facilities
3880,0,0,No polluting facilities
3882,0,0,No polluting facilities
3885,1,161130.1947,Medium
3886,1,17592.761,Medium
3887,0,0,No polluting facilities
3888,0,0,No polluting facilities
3889,0,0,No polluting facilities
3890,0,0,No polluting facilities
3891,0,0,No polluting facilities
3892,0,0,No polluting facilities
3893,0,0,No polluting facilities
3895,0,0,No polluting facilities
3896,0,0,No polluting facilities
3898,0,0,No polluting facilities
3900,0,0,No polluting facilities
3902,0,0,No polluting facilities
3903,0,0,No polluting facilities
3904,0,0,No polluting facilities
3909,1,0.001066191,Low
3910,0,0,No polluting facilities
3911,0,0,No polluting facilities
3912,1,5407.155,Low
3913,0,0,No polluting facilities
3915,3,799014.3455,High
3916,0,0,No polluting facilities
3918,0,0,No polluting facilities
3919,0,0,No polluting facilities
3920,0,0,No polluting facilities
3921,0,0,No polluting facilities
3922,0,0,No polluting facilities
3923,0,0,No polluting facilities
3925,0,0,No polluting facilities
3926,0,0,No polluting facilities
3927,0,0,No polluting facilities
3928,0,0,No polluting facilities
3929,0,0,No polluting facilities
3930,0,0,No polluting facilities
3931,0,0,No polluting facilities
3933,0,0,No polluting facilities
3934,1,267.712,Low
3936,0,0,No polluting facilities
3937,0,0,No polluting facilities
3938,0,0,No polluting facilities
3939,0,0,No polluting facilities
3940,0,0,No polluting facilities
3941,1,8517.86404,Low
3942,0,0,No polluting facilities
3943,0,0,No polluting facilities
3944,0,0,No polluting facilities
3945,0,0,No polluting facilities
3946,0,0,No polluting facilities
3950,1,34731.344,Medium
3951,0,0,No polluting facilities
3953,3,94851.7534,Medium
3954,0,0,No polluting facilities
3956,0,0,No polluting facilities
3957,0,0,No polluting facilities
3958,0,0,No polluting facilities
3959,0,0,No polluting facilities
3960,0,0,No polluting facilities
3962,0,0,No polluting facilities
3964,0,0,No polluting facilities
3965,0,0,No polluting facilities
3966,0,0,No polluting facilities
3967,0,0,No polluting facilities
3971,1,19867.80766,Medium
3975,1,1901.11,Low
3976,2,134877.7733,Medium
3977,0,0,No polluting facilities
3978,1,27729.88,Medium
3979,0,0,No polluting facilities
3980,0,0,No polluting facilities
3981,0,0,No polluting facilities
3984,3,593343.3486,High
3987,0,0,No polluting facilities
3988,0,0,No polluting facilities
3990,0,0,No polluting facilities
3991,0,0,No polluting facilities
3992,0,0,No polluting facilities
3995,1,87960.40175,Medium
3996,0,0,No polluting facilities
4000,0,0,No polluting facilities
4005,0,0,No polluting facilities
4006,0,0,No polluting facilities
4007,3,26675.70981,Medium
4008,12,314251.4363,Medium
4009,2,16314.4912,Medium
4010,0,0,No polluting facilities
4011,0,0,No polluting facilities
4012,0,0,No polluting facilities
4013,1,208318.7697,Medium
4014,3,10432.4687,Medium
4017,0,0,No polluting facilities
4018,1,3235.45,Low
4019,0,0,No polluting facilities
4020,0,0,No polluting facilities
4021,0,0,No polluting facilities
4022,0,0,No polluting facilities
4025,0,0,No polluting facilities
4029,0,0,No polluting facilities
4030,0,0,No polluting facilities
4031,1,1893.10827,Low
4032,0,0,No polluting facilities
4034,2,3137.7,Low
4035,0,0,No polluting facilities
4036,0,0,No polluting facilities
4037,0,0,No polluting facilities
4051,0,0,No polluting facilities
4053,0,0,No polluting facilities
4054,0,0,No polluting facilities
4055,2,50224.38531,Medium
4059,0,0,No polluting facilities
4060,0,0,No polluting facilities
4061,0,0,No polluting facilities
4064,1,4234.441014,Low
4065,0,0,No polluting facilities
4066,1,14183,Medium
4067,0,0,No polluting facilities
4068,0,0,No polluting facilities
4069,0,0,No polluting facilities
4070,0,0,No polluting facilities
4072,0,0,No polluting facilities
4073,0,0,No polluting facilities
4074,0,0,No polluting facilities
4075,0,0,No polluting facilities
4076,7,178116.9625,Medium
4077,3,315958.2918,Medium
4078,0,0,No polluting facilities
4101,3,763896.2918,High
4102,0,0,No polluting facilities
4103,1,0,No polluting facilities
4104,0,0,No polluting facilities
4105,2,1843.258056,Low
4106,3,101891.0547,Medium
4107,2,3266.980005,Low
4108,3,59451.02627,Medium
4109,0,0,No polluting facilities
4110,3,55527.3574,Medium
4111,0,0,No polluting facilities
4112,0,0,No polluting facilities
4113,1,18618.4193,Medium
4114,0,0,No polluting facilities
4115,0,0,No polluting facilities
4116,0,0,No polluting facilities
4117,0,0,No polluting facilities
4118,2,86811.05223,Medium
4119,0,0,No polluting facilities
4120,1,3965.4308,Low
4121,0,0,No polluting facilities
4122,0,0,No polluting facilities
4123,3,514200.1303,High
4124,0,0,No polluting facilities
4125,0,0,No polluting facilities
4127,1,5984.6545,Low
4128,0,0,No polluting facilities
4129,0,0,No polluting facilities
4130,0,0,No polluting facilities
4131,0,0,No polluting facilities
4132,1,1382.869411,Low
4133,0,0,No polluting facilities
4151,0,0,No polluting facilities
4152,1,2223.3,Low
4153,0,0,No polluting facilities
4154,0,0,No polluting facilities
4155,0,0,No polluting facilities
4156,0,0,No polluting facilities
4157,0,0,No polluting facilities
4158,0,0,No polluting facilities
4159,2,11381.13954,Medium
4160,0,0,No polluting facilities
4161,0,0,No polluting facilities
4163,3,452325.734,Medium
4164,0,0,No polluting facilities
4165,2,111808.56,Medium
4169,0,0,No polluting facilities
4170,1,75832.36522,Medium
4171,0,0,No polluting facilities
4172,4,968535.1801,High
4173,2,23431.42782,Medium
4174,3,283030.1674,Medium
4178,7,7841496.214,High
4179,0,0,No polluting facilities
4183,1,1.42903e-4,Low
4184,0,0,No polluting facilities
4205,0,0,No polluting facilities
4207,11,569329.7399,High
4208,3,338571.4618,Medium
4209,0,0,No polluting facilities
4210,1,266786.483,Medium
4211,2,137358.5457,Medium
4212,0,0,No polluting facilities
4213,0,0,No polluting facilities
4214,2,992.7488246,Low
4215,1,27054.4,Medium
4216,1,0,No polluting facilities
4217,0,0,No polluting facilities
4218,0,0,No polluting facilities
4220,3,404633.0091,Medium
4221,0,0,No polluting facilities
4222,0,0,No polluting facilities
4223,0,0,No polluting facilities
4224,1,1.40173e-4,Low
4225,0,0,No polluting facilities
4226,0,0,No polluting facilities
4227,1,1737.594055,Low
4228,0,0,No polluting facilities
4229,0,0,No polluting facilities
4230,0,0,No polluting facilities
4270,0,0,No polluting facilities
4271,0,0,No polluting facilities
4272,0,0,No polluting facilities
4275,0,0,No polluting facilities
4280,0,0,No polluting facilities
4285,2,75438.5312,Medium
4287,0,0,No polluting facilities
4300,10,216211.1933,Medium
4301,0,0,No polluting facilities
4303,6,292811.2986,Medium
4304,2,9825.966888,Low
4305,3,79509.18958,Medium
4306,8,2146819.836,High
4307,0,0,No polluting facilities
4309,0,0,No polluting facilities
4310,0,0,No polluting facilities
4311,0,0,No polluting facilities
4312,0,0,No polluting facilities
4313,0,0,No polluting facilities
4340,0,0,No polluting facilities
4341,0,0,No polluting facilities
4342,0,0,No polluting facilities
4343,0,0,No polluting facilities
4344,0,0,No polluting facilities
4345,0,0,No polluting facilities
4346,0,0,No polluting facilities
4347,1,14505.40981,Medium
4350,8,294573.5424,Medium
4352,1,3.31082e-5,Low
4353,0,0,No polluting facilities
4354,0,0,No polluting facilities
4355,0,0,No polluting facilities
4356,2,248113.8641,Medium
4357,2,46374281.26,High
4358,0,0,No polluting facilities
4359,0,0,No polluting facilities
4360,0,0,No polluting facilities
4361,1,21041,Medium
4362,1,1.49926e-4,Low
4363,0,0,No polluting facilities
4364,0,0,No polluting facilities
4365,0,0,No polluting facilities
4370,3,90132.05062,Medium
4371,0,0,No polluting facilities
4372,1,5.17939e-5,Low
4373,0,0,No polluting facilities
4374,1,6.32746e-5,Low
4375,0,0,No polluting facilities
4376,0,0,No polluting facilities
4377,0,0,No polluting facilities
4378,0,0,No polluting facilities
4380,1,3.94392e-4,Low
4381,0,0,No polluting facilities
4382,0,0,No polluting facilities
4383,0,0,No polluting facilities
4384,0,0,No polluting facilities
4385,2,169699.9245,Medium
4387,0,0,No polluting facilities
4388,0,0,No polluting facilities
4390,0,0,No polluting facilities
4400,0,0,No polluting facilities
4401,4,4788627.224,High
4402,0,0,No polluting facilities
4403,0,0,No polluting facilities
4404,0,0,No polluting facilities
4405,13,11792495.26,High
4406,3,1387582.711,High
4407,0,0,No polluting facilities
4408,0,0,No polluting facilities
4410,0,0,No polluting facilities
4411,0,0,No polluting facilities
4412,2,22071950.35,High
4413,2,2186802.727,High
4415,3,1797765.751,High
4416,4,3652489.604,High
4417,0,0,No polluting facilities
4418,0,0,No polluting facilities
4419,3,4348149.538,High
4420,0,0,No polluting facilities
4421,1,2419933.05,High
4422,0,0,No polluting facilities
4423,0,0,No polluting facilities
4424,0,0,No polluting facilities
4425,0,0,No polluting facilities
4426,1,3501.783,Low
4427,1,206660.91,Medium
4428,2,392357.2886,Medium
4454,4,3372964.93,High
4455,4,2426158.116,High
4461,0,0,No polluting facilities
4462,0,0,No polluting facilities
4465,0,0,No polluting facilities
4467,0,0,No polluting facilities
4468,0,0,No polluting facilities
4470,0,0,No polluting facilities
4472,0,0,No polluting facilities
4474,0,0,No polluting facilities
4475,0,0,No polluting facilities
4477,0,0,No polluting facilities
4478,0,0,No polluting facilities
4479,1,61684.10864,Medium
4480,11,1643918.409,High
4481,3,37937.55051,Medium
4482,1,32388.37,Medium
4486,0,0,No polluting facilities
4487,0,0,No polluting facilities
4488,0,0,No polluting facilities
4489,0,0,No polluting facilities
4490,0,0,No polluting facilities
4491,0,0,No polluting facilities
4492,3,209323.042,Medium
4493,0,0,No polluting facilities
4494,0,0,No polluting facilities
4496,0,0,No polluting facilities
4497,0,0,No polluting facilities
4498,0,0,No polluting facilities
4500,2,38557.56704,Medium
4501,0,0,No polluting facilities
4502,0,0,No polluting facilities
4503,3,564328.0639,High
4504,5,336099.8718,Medium
4505,0,0,No polluting facilities
4506,0,0,No polluting facilities
4507,0,0,No polluting facilities
4508,0,0,No polluting facilities
4509,0,0,No polluting facilities
4510,3,98373.96134,Medium
4511,1,123577.405,Medium
4512,1,59309,Medium
4514,0,0,No polluting facilities
4515,1,211998.636,Medium
4516,0,0,No polluting facilities
4517,1,98323.19,Medium
4518,1,52099.46,Medium
4519,0,0,No polluting facilities
4520,0,0,No polluting facilities
4521,0,0,No polluting facilities
4550,1,59321.44317,Medium
4551,1,0.013943173,Low
4552,0,0,No polluting facilities
4553,1,0.013,Low
4554,0,0,No polluting facilities
4555,0,0,No polluting facilities
4556,1,3.51705e-4,Low
4557,0,0,No polluting facilities
4558,0,0,No polluting facilities
4559,0,0,No polluting facilities
4560,3,71593.65378,Medium
4561,4,1418.632353,Low
4562,0,0,No polluting facilities
4563,0,0,No polluting facilities
4564,0,0,No polluting facilities
4565,0,0,No polluting facilities
4566,0,0,No polluting facilities
4567,0,0,No polluting facilities
4568,0,0,No polluting facilities
4569,0,0,No polluting facilities
4570,6,360304.028,Medium
4571,0,0,No polluting facilities
4572,0,0,No polluting facilities
4573,0,0,No polluting facilities
4574,1,516367.355,High
4575,1,986185.42,High
4580,0,0,No polluting facilities
4581,0,0,No polluting facilities
4600,0,0,No polluting facilities
4601,0,0,No polluting facilities
4605,2,63181.07,Medium
4606,0,0,No polluting facilities
4608,0,0,No polluting facilities
4610,2,83125.16974,Medium
4611,0,0,No polluting facilities
4612,0,0,No polluting facilities
4613,1,209381.805,Medium
4614,0,0,No polluting facilities
4615,3,61045503.15,High
4620,0,0,No polluting facilities
4621,0,0,No polluting facilities
4625,1,7059.985,Low
4626,1,47836.40708,Medium
4627,1,18674.94987,Medium
4630,0,0,No polluting facilities
4650,6,3127657.481,High
4655,3,117766.54,Medium
4659,0,0,No polluting facilities
4660,2,694321.0059,High
4662,0,0,No polluting facilities
4670,3,900583.5682,High
4671,1,1605927.681,High
4673,0,0,No polluting facilities
4674,0,0,No polluting facilities
4676,0,0,No polluting facilities
4677,0,0,No polluting facilities
4678,0,0,No polluting facilities
4680,13,97159201.55,High
4694,2,139749.52,Medium
4695,1,197330.4433,Medium
4697,0,0,No polluting facilities
4699,0,0,No polluting facilities
4700,4,74502.70065,Medium
4701,3,162753.3456,Medium
4702,6,68970024.03,High
4703,0,0,No polluting facilities
4704,0,0,No polluting facilities
4705,1,184203.27,Medium
4706,0,0,No polluting facilities
4707,0,0,No polluting facilities
4709,2,2034078.467,High
4710,0,0,No polluting facilities
4711,0,0,No polluting facilities
4712,0,0,No polluting facilities
4713,0,0,No polluting facilities
4714,0,0,No polluting facilities
4715,5,51112536,High
4716,0,0,No polluting facilities
4717,4,50420736.78,High
4718,3,16928764.24,High
4719,1,471182.0146,Medium
4720,2,7395865.525,High
4721,1,7239874.714,High
4722,1,819378.16,High
4723,0,0,No polluting facilities
4724,0,0,No polluting facilities
4725,1,2005.8052,Low
4726,0,0,No polluting facilities
4727,0,0,No polluting facilities
4728,0,0,No polluting facilities
4730,0,0,No polluting facilities
4731,0,0,No polluting facilities
4732,0,0,No polluting facilities
4733,0,0,No polluting facilities
4735,1,437359.973,Medium
4736,0,0,No polluting facilities
4737,1,1002138.724,High
4738,0,0,No polluting facilities
4739,0,0,No polluting facilities
4740,9,2407175.035,High
4741,7,3973910.077,High
4742,6,40572141.17,High
4743,3,6482773.054,High
4744,12,75770254.17,High
4745,2,40167353.7,High
4746,4,26198449.17,High
4750,0,0,No polluting facilities
4751,0,0,No polluting facilities
4753,1,731148.7135,High
4754,1,8.8372e-5,Low
4756,1,1.78097e-5,Low
4757,1,1.20367e-5,Low
4798,0,0,No polluting facilities
4799,0,0,No polluting facilities
4800,1,784425.0032,High
4801,0,0,No polluting facilities
4802,0,0,No polluting facilities
4803,0,0,No polluting facilities
4804,3,5148104.78,High
4805,2,676983.9914,High
4806,1,1257171.001,High
4807,1,1081275.001,High
4808,1,846799.0001,High
4809,1,1593515.001,High
4810,5,52056.64569,Medium
4811,6,981668.1237,High
4812,0,0,No polluting facilities
4814,1,57278.31009,Medium
4815,0,0,No polluting facilities
4816,3,1446638.555,High
4817,0,0,No polluting facilities
4818,5,594447.2042,High
4819,0,0,No polluting facilities
