Postcode,Number of polluting facilities,Total emissions in the air (kg),Level of pollution
4820,1,292810.5142,Medium
4821,0,0,No polluting facilities
4822,0,0,No polluting facilities
4823,0,0,No polluting facilities
4824,6,7226980.084,High
4825,12,216570152.1,High
4828,1,35237.14,Medium
4829,2,92318.34,Medium
4830,2,145304.45,Medium
4849,0,0,No polluting facilities
4850,3,2547631.652,High
4852,0,0,No polluting facilities
4854,1,917674.0315,High
4855,0,0,No polluting facilities
4856,0,0,No polluting facilities
4858,0,0,No polluting facilities
4859,1,791822,High
4860,1,19352.13,Medium
4861,0,0,No polluting facilities
4865,2,557432.0781,High
4868,0,0,No polluting facilities
4869,1,47629.1,Medium
4870,2,68569.10628,Medium
4871,8,727176.6354,High
4872,0,0,No polluting facilities
4873,1,769705.3824,High
4874,2,9846322.95,High
4875,10,701057.01,High
4876,1,190801.28,Medium
4877,0,0,No polluting facilities
4878,0,0,No polluting facilities
4879,0,0,No polluting facilities
4880,3,239824.1355,Medium
4881,1,89563.272,Medium
4882,0,0,No polluting facilities
4883,0,0,No polluting facilities
4884,0,0,No polluting facilities
4885,1,33176,Medium
4886,0,0,No polluting facilities
4887,0,0,No polluting facilities
4888,0,0,No polluting facilities
4890,0,0,No polluting facilities
4891,0,0,No polluting facilities
4892,0,0,No polluting facilities
4895,0,0,No polluting facilities
5000,1,8801.732537,Low
5005,1,3464.544855,Low
5006,1,43949.57,Medium
5007,0,0,No polluting facilities
5008,3,647201.335,High
5009,0,0,No polluting facilities
5010,2,69206.2445,Medium
5011,1,3287.917955,Low
5012,2,10156.98443,Low
5013,9,142519.8458,Medium
5014,0,0,No polluting facilities
5015,4,3252097.575,High
5016,1,1448.037,Low
5017,1,236026.8797,Medium
5018,4,484560.8496,Medium
5019,0,0,No polluting facilities
5020,0,0,No polluting facilities
5021,0,0,No polluting facilities
5022,0,0,No polluting facilities
5023,0,0,No polluting facilities
5024,0,0,No polluting facilities
5025,0,0,No polluting facilities
5031,4,31368.81043,Medium
5032,0,0,No polluting facilities
5033,1,3104.699788,Low
5034,0,0,No polluting facilities
5035,1,2195.9,Low
5037,1,5080,Low
5038,0,0,No polluting facilities
5039,1,616.473,Low
5040,0,0,No polluting facilities
5041,0,0,No polluting facilities
5042,2,3341.321,Low
5043,0,0,No polluting facilities
5044,0,0,No polluting facilities
5045,1,10783.02,Medium
5046,0,0,No polluting facilities
5047,0,0,No polluting facilities
5048,0,0,No polluting facilities
5049,1,416274.432,Medium
5050,0,0,No polluting facilities
5051,0,0,No polluting facilities
5052,0,0,No polluting facilities
5061,0,0,No polluting facilities
5062,0,0,No polluting facilities
5063,0,0,No polluting facilities
5064,0,0,No polluting facilities
5065,0,0,No polluting facilities
5066,1,208580.27,Medium
5067,0,0,No polluting facilities
5068,0,0,No polluting facilities
5069,0,0,No polluting facilities
5070,0,0,No polluting facilities
5072,0,0,No polluting facilities
5073,0,0,No polluting facilities
5074,0,0,No polluting facilities
5075,0,0,No polluting facilities
5076,0,0,No polluting facilities
5081,0,0,No polluting facilities
5082,0,0,No polluting facilities
5083,0,0,No polluting facilities
5084,2,43096.3116,Medium
5085,0,0,No polluting facilities
5086,0,0,No polluting facilities
5087,0,0,No polluting facilities
5088,0,0,No polluting facilities
5089,0,0,No polluting facilities
5090,0,0,No polluting facilities
5091,0,0,No polluting facilities
5092,0,0,No polluting facilities
5093,0,0,No polluting facilities
5094,10,122662.6343,Medium
5095,1,4953.7485,Low
5096,1,219819.369,Medium
5097,0,0,No polluting facilities
5098,0,0,No polluting facilities
5106,3,7389.456189,Low
5107,0,0,No polluting facilities
5108,0,0,No polluting facilities
5109,0,0,No polluting facilities
5110,2,36818.624,Medium
5111,1,3681.1025,Low
5112,2,22810.97332,Medium
5113,2,1930.43676,Low
5114,2,2810947.904,High
5115,0,0,No polluting facilities
5116,0,0,No polluting facilities
5117,0,0,No polluting facilities
5118,1,1719794.718,High
5120,0,0,No polluting facilities
5121,0,0,No polluting facilities
5125,2,758465.511,High
5126,0,0,No polluting facilities
5127,0,0,No polluting facilities
5131,0,0,No polluting facilities
5132,0,0,No polluting facilities
5133,0,0,No polluting facilities
5134,1,86475.709,Medium
5136,0,0,No polluting facilities
5137,0,0,No polluting facilities
5138,0,0,No polluting facilities
5139,0,0,No polluting facilities
5140,0,0,No polluting facilities
5141,1,33294.89,Medium
5142,0,0,No polluting facilities
5144,0,0,No polluting facilities
5150,0,0,No polluting facilities
5151,0,0,No polluting facilities
5152,0,0,No polluting facilities
5153,0,0,No polluting facilities
5154,0,0,No polluting facilities
5155,0,0,No polluting facilities
5156,0,0,No polluting facilities
5157,0,0,No polluting facilities
5158,0,0,No polluting facilities
5159,0,0,No polluting facilities
5160,2,10366.00611,Low
5161,0,0,No polluting facilities
5162,0,0,No polluting facilities
5163,0,0,No polluting facilities
5164,0,0,No polluting facilities
5165,1,6212.536,Low
5166,0,0,No polluting facilities
5167,0,0,No polluting facilities
5168,0,0,No polluting facilities
5169,0,0,No polluting facilities
5170,0,0,No polluting facilities
5171,2,1694.189978,Low
5172,0,0,No polluting facilities
5173,0,0,No polluting facilities
5174,0,0,No polluting facilities
5201,0,0,No polluting facilities
5202,0,0,No polluting facilities
5203,0,0,No polluting facilities
5204,0,0,No polluting facilities
5210,1,48248.1012,Medium
5211,0,0,No polluting facilities
5212,0,0,No polluting facilities
5213,0,0,No polluting facilities
5214,0,0,No polluting facilities
5220,0,0,No polluting facilities
5221,0,0,No polluting facilities
5222,0,0,No polluting facilities
5223,1,787.494,Low
5231,0,0,No polluting facilities
5232,0,0,No polluting facilities
5233,0,0,No polluting facilities
5234,0,0,No polluting facilities
5235,0,0,No polluting facilities
5236,0,0,No polluting facilities
5237,0,0,No polluting facilities
5238,0,0,No polluting facilities
5240,0,0,No polluting facilities
5241,1,136120.168,Medium
5242,0,0,No polluting facilities
5243,0,0,No polluting facilities
5244,0,0,No polluting facilities
5245,0,0,No polluting facilities
5250,1,25795.81,Medium
5251,0,0,No polluting facilities
5252,2,1070330.528,High
5253,4,63355.15546,Medium
5254,1,20346.71181,Medium
5255,1,254.1515102,Low
5256,0,0,No polluting facilities
5259,1,3536.862905,Low
5260,0,0,No polluting facilities
5261,1,13264.68504,Medium
5262,1,5291.98033,Low
5263,0,0,No polluting facilities
5264,0,0,No polluting facilities
5265,0,0,No polluting facilities
5266,0,0,No polluting facilities
5267,1,48968.18497,Medium
5268,1,24566.72908,Medium
5269,0,0,No polluting facilities
5270,0,0,No polluting facilities
5271,0,0,No polluting facilities
5272,0,0,No polluting facilities
5273,0,0,No polluting facilities
5275,0,0,No polluting facilities
5276,0,0,No polluting facilities
5277,2,803453.561,High
5278,1,1309.364864,Low
5279,1,39967.082,Medium
5280,2,88961.17367,Medium
5290,4,505215.5208,High
5291,2,32828.57,Medium
5301,0,0,No polluting facilities
5302,0,0,No polluting facilities
5303,0,0,No polluting facilities
5304,0,0,No polluting facilities
5306,0,0,No polluting facilities
5307,0,0,No polluting facilities
5308,0,0,No polluting facilities
5309,0,0,No polluting facilities
5310,0,0,No polluting facilities
5311,0,0,No polluting facilities
5320,0,0,No polluting facilities
5321,0,0,No polluting facilities
5322,0,0,No polluting facilities
5330,0,0,No polluting facilities
5331,0,0,No polluting facilities
5332,0,0,No polluting facilities
5333,0,0,No polluting facilities
5340,0,0,No polluting facilities
5341,0,0,No polluting facilities
5342,0,0,No polluting facilities
5343,1,2258.801537,Low
5344,2,22944.83588,Medium
5345,0,0,No polluting facilities
5346,0,0,No polluting facilities
5350,0,0,No polluting facilities
5351,0,0,No polluting facilities
5352,0,0,No polluting facilities
5353,4,933938.5964,High
5354,0,0,No polluting facilities
5355,3,28034.01078,Medium
5356,0,0,No polluting facilities
5357,1,2e-5,Low
5360,0,0,No polluting facilities
5371,0,0,No polluting facilities
5372,0,0,No polluting facilities
5373,0,0,No polluting facilities
5374,0,0,No polluting facilities
5381,0,0,No polluting facilities
5400,1,34940.132,Medium
5401,0,0,No polluting facilities
5410,0,0,No polluting facilities
5411,0,0,No polluting facilities
5412,0,0,No polluting facilities
5413,1,0.026,Low
5414,0,0,No polluting facilities
5415,1,65641.76603,Medium
5416,0,0,No polluting facilities
5417,1,19301.50015,Medium
5418,0,0,No polluting facilities
5419,1,163055.3,Medium
5420,0,0,No polluting facilities
5421,0,0,No polluting facilities
5422,1,48067.60748,Medium
5431,0,0,No polluting facilities
5432,0,0,No polluting facilities
5433,0,0,No polluting facilities
5434,0,0,No polluting facilities
5440,1,247811.57,Medium
5451,0,0,No polluting facilities
5452,0,0,No polluting facilities
5453,0,0,No polluting facilities
5454,0,0,No polluting facilities
5455,0,0,No polluting facilities
5460,0,0,No polluting facilities
5461,0,0,No polluting facilities
5462,0,0,No polluting facilities
5464,0,0,No polluting facilities
5470,0,0,No polluting facilities
5471,0,0,No polluting facilities
5472,0,0,No polluting facilities
5473,0,0,No polluting facilities
5480,1,7006.56118,Low
5481,0,0,No polluting facilities
5482,0,0,No polluting facilities
5483,0,0,No polluting facilities
5485,0,0,No polluting facilities
5490,0,0,No polluting facilities
5491,0,0,No polluting facilities
5493,0,0,No polluting facilities
5495,0,0,No polluting facilities
5501,1,0.015452933,Low
5502,1,95881.144,Medium
5510,0,0,No polluting facilities
5520,0,0,No polluting facilities
5521,0,0,No polluting facilities
5522,0,0,No polluting facilities
5523,0,0,No polluting facilities
5540,1,59928619.27,High
5550,2,12054.10117,Medium
5552,0,0,No polluting facilities
5554,1,3e-4,Low
5555,0,0,No polluting facilities
5556,0,0,No polluting facilities
5558,0,0,No polluting facilities
5560,0,0,No polluting facilities
5570,1,6984.989472,Low
5571,0,0,No polluting facilities
5572,0,0,No polluting facilities
5573,0,0,No polluting facilities
5575,1,272345.19,Medium
5576,0,0,No polluting facilities
5577,0,0,No polluting facilities
5580,0,0,No polluting facilities
5581,0,0,No polluting facilities
5582,0,0,No polluting facilities
5583,0,0,No polluting facilities
5600,4,9857499.252,High
5601,2,5381404.78,High
5602,0,0,No polluting facilities
5603,0,0,No polluting facilities
5604,0,0,No polluting facilities
5605,0,0,No polluting facilities
5606,2,4783.2655,Low
5607,1,22918.8563,Medium
5608,1,105551.129,Medium
5609,0,0,No polluting facilities
5630,0,0,No polluting facilities
5631,0,0,No polluting facilities
5632,0,0,No polluting facilities
5633,0,0,No polluting facilities
5640,0,0,No polluting facilities
5641,0,0,No polluting facilities
5642,0,0,No polluting facilities
5650,0,0,No polluting facilities
5651,0,0,No polluting facilities
5652,0,0,No polluting facilities
5653,0,0,No polluting facilities
5654,0,0,No polluting facilities
5655,0,0,No polluting facilities
5660,0,0,No polluting facilities
5661,0,0,No polluting facilities
5670,0,0,No polluting facilities
5671,0,0,No polluting facilities
5680,0,0,No polluting facilities
5690,2,1772958.388,High
5700,4,385947.9841,Medium
5701,1,729798.5576,High
5710,5,1243917.084,High
5713,0,0,No polluting facilities
5715,0,0,No polluting facilities
5717,0,0,No polluting facilities
5719,0,0,No polluting facilities
5720,0,0,No polluting facilities
5722,0,0,No polluting facilities
5723,2,3885009.018,High
5724,0,0,No polluting facilities
5725,1,5093601.39,High
5730,0,0,No polluting facilities
5731,22,6404569.456,High
5732,1,45139.95762,Medium
5733,0,0,No polluting facilities
5734,0,0,No polluting facilities
5950,0,0,No polluting facilities
5960,1,3753840.731,High
6000,1,2984.591637,Low
6003,0,0,No polluting facilities
6004,0,0,No polluting facilities
6005,0,0,No polluting facilities
6006,0,0,No polluting facilities
6007,0,0,No polluting facilities
6008,3,10837.53079,Medium
6009,3,25825.27168,Medium
6010,1,2503.82,Low
6011,0,0,No polluting facilities
6012,0,0,No polluting facilities
6014,0,0,No polluting facilities
6015,0,0,No polluting facilities
6016,0,0,No polluting facilities
6017,1,9630.100824,Low
6018,0,0,No polluting facilities
6019,0,0,No polluting facilities
6020,0,0,No polluting facilities
6021,1,6048.487247,Low
6022,0,0,No polluting facilities
6023,0,0,No polluting facilities
6024,0,0,No polluting facilities
6025,1,17991.78,Medium
6026,0,0,No polluting facilities
6027,1,4132.983,Low
6028,0,0,No polluting facilities
6029,0,0,No polluting facilities
6030,2,110720.1264,Medium
6031,1,67235.14663,Medium
6032,0,0,No polluting facilities
6033,0,0,No polluting facilities
6034,0,0,No polluting facilities
6035,0,0,No polluting facilities
6036,0,0,No polluting facilities
6037,0,0,No polluting facilities
6038,0,0,No polluting facilities
6041,0,0,No polluting facilities
6042,0,0,No polluting facilities
6043,0,0,No polluting facilities
6044,0,0,No polluting facilities
6050,0,0,No polluting facilities
6051,0,0,No polluting facilities
6052,0,0,No polluting facilities
6053,0,0,No polluting facilities
6054,0,0,No polluting facilities
6055,6,270979.2105,Medium
6056,5,829997.4154,High
6057,0,0,No polluting facilities
6058,2,29839.97464,Medium
6059,0,0,No polluting facilities
6060,0,0,No polluting facilities
6061,1,5509.26796,Low
6062,0,0,No polluting facilities
6063,0,0,No polluting facilities
6064,0,0,No polluting facilities
6065,2,25977.35668,Medium
6066,0,0,No polluting facilities
6067,0,0,No polluting facilities
6068,0,0,No polluting facilities
6069,0,0,No polluting facilities
6070,0,0,No polluting facilities
6071,0,0,No polluting facilities
6072,0,0,No polluting facilities
6073,0,0,No polluting facilities
6074,0,0,No polluting facilities
6076,1,427.9921416,Low
6077,0,0,No polluting facilities
6078,1,1876368.445,High
6079,0,0,No polluting facilities
6081,0,0,No polluting facilities
6082,0,0,No polluting facilities
6083,0,0,No polluting facilities
6084,1,747.5989601,Low
6090,2,34033.14573,Medium
6100,0,0,No polluting facilities
6101,0,0,No polluting facilities
6102,4,37635.20811,Medium
6103,0,0,No polluting facilities
6104,1,1329.2816,Low
6105,6,123689.5126,Medium
6106,7,71682.9262,Medium
6107,0,0,No polluting facilities
6108,0,0,No polluting facilities
6109,2,262061.4866,Medium
6110,2,135031.8188,Medium
6111,0,0,No polluting facilities
6112,2,105492.5737,Medium
6121,0,0,No polluting facilities
6122,1,38724.8755,Medium
6123,4,165137.969,Medium
6124,0,0,No polluting facilities
6125,0,0,No polluting facilities
6126,0,0,No polluting facilities
6147,0,0,No polluting facilities
6148,0,0,No polluting facilities
6149,0,0,No polluting facilities
6150,3,168780.8296,Medium
6151,0,0,No polluting facilities
6152,0,0,No polluting facilities
6153,0,0,No polluting facilities
6154,0,0,No polluting facilities
6155,5,40715.26425,Medium
6156,0,0,No polluting facilities
6157,2,918.350193,Low
6158,0,0,No polluting facilities
6159,2,39957.68299,Medium
6160,1,3541.248368,Low
6161,0,0,No polluting facilities
6162,0,0,No polluting facilities
6163,3,8927.408308,Low
6164,0,0,No polluting facilities
6165,7,3201836.475,High
6166,3,1159376.342,High
6167,10,8984154.477,High
6168,2,126072.5414,Medium
6169,0,0,No polluting facilities
6170,0,0,No polluting facilities
6171,2,71496.91247,Medium
6172,0,0,No polluting facilities
6173,0,0,No polluting facilities
6174,0,0,No polluting facilities
6175,0,0,No polluting facilities
6176,1,0.003,Low
6180,0,0,No polluting facilities
6181,0,0,No polluting facilities
6182,0,0,No polluting facilities
6207,1,439506.5892,Medium
6208,2,2441567.19,High
6209,0,0,No polluting facilities
6210,0,0,No polluting facilities
6211,0,0,No polluting facilities
6213,1,3615190.78,High
6214,0,0,No polluting facilities
6215,3,2866067.831,High
6218,0,0,No polluting facilities
6220,4,38770.9844,Medium
6221,0,0,No polluting facilities
6223,0,0,No polluting facilities
6224,1,2400.063602,Low
6225,7,100928652.5,High
6226,0,0,No polluting facilities
6227,1,156428.897,Medium
6228,0,0,No polluting facilities
6229,3,95398.57864,Medium
6230,6,278839.2283,Medium
6232,0,0,No polluting facilities
6233,6,1382041.171,High
6236,3,581615.7976,High
6237,2,89706.66761,Medium
6239,1,580.8426657,Low
6240,0,0,No polluting facilities
6243,0,0,No polluting facilities
6244,0,0,No polluting facilities
6251,0,0,No polluting facilities
6252,0,0,No polluting facilities
6253,0,0,No polluting facilities
6254,3,498340.8936,Medium
6255,1,543.6875649,Low
6256,0,0,No polluting facilities
6258,2,5190.03184,Low
6260,0,0,No polluting facilities
6262,0,0,No polluting facilities
6271,1,2324602.627,High
6275,0,0,No polluting facilities
6280,2,796369.74,High
6281,1,3956.342261,Low
6282,0,0,No polluting facilities
6284,0,0,No polluting facilities
6285,0,0,No polluting facilities
6286,1,1628.90588,Low
6288,0,0,No polluting facilities
6290,0,0,No polluting facilities
6302,0,0,No polluting facilities
6304,0,0,No polluting facilities
6306,0,0,No polluting facilities
6308,0,0,No polluting facilities
6309,0,0,No polluting facilities
6311,0,0,No polluting facilities
6312,1,1014.611201,Low
6313,0,0,No polluting facilities
6315,1,28939,Medium
6316,0,0,No polluting facilities
6317,0,0,No polluting facilities
6318,0,0,No polluting facilities
6320,0,0,No polluting facilities
6321,0,0,No polluting facilities
6322,0,0,No polluting facilities
6323,1,12987.1,Medium
6324,1,1.49479e-4,Low
6326,1,23363.11133,Medium
6327,0,0,No polluting facilities
6328,0,0,No polluting facilities
6330,3,40369.75159,Medium
6333,0,0,No polluting facilities
6335,0,0,No polluting facilities
6336,0,0,No polluting facilities
6337,0,0,No polluting facilities
6338,0,0,No polluting facilities
6341,0,0,No polluting facilities
6343,0,0,No polluting facilities
6346,1,392738.1395,Medium
6348,1,70253.5,Medium
6350,0,0,No polluting facilities
6351,0,0,No polluting facilities
6352,0,0,No polluting facilities
6353,0,0,No polluting facilities
6355,0,0,No polluting facilities
6356,0,0,No polluting facilities
6357,0,0,No polluting facilities
6358,0,0,No polluting facilities
6359,1,903353.6309,High
6361,0,0,No polluting facilities
6363,0,0,No polluting facilities
6365,0,0,No polluting facilities
6367,0,0,No polluting facilities
6368,0,0,No polluting facilities
6369,0,0,No polluting facilities
6370,0,0,No polluting facilities
6372,0,0,No polluting facilities
6373,0,0,No polluting facilities
6375,0,0,No polluting facilities
6383,0,0,No polluting facilities
6384,0,0,No polluting facilities
6385,0,0,No polluting facilities
6386,0,0,No polluting facilities
6390,3,20308374.36,High
6391,0,0,No polluting facilities
6392,0,0,No polluting facilities
6393,0,0,No polluting facilities
6394,0,0,No polluting facilities
6395,0,0,No polluting facilities
6396,0,0,No polluting facilities
6397,0,0,No polluting facilities
6398,0,0,No polluting facilities
6401,1,1311.759432,Low
6403,1,926.2616268,Low
6405,0,0,No polluting facilities
6407,0,0,No polluting facilities
6409,0,0,No polluting facilities
6410,0,0,No polluting facilities
6411,0,0,No polluting facilities
6412,0,0,No polluting facilities
6413,0,0,No polluting facilities
6414,0,0,No polluting facilities
6415,2,4438.300515,Low
6418,0,0,No polluting facilities
6419,0,0,No polluting facilities
6420,0,0,No polluting facilities
6421,0,0,No polluting facilities
6422,0,0,No polluting facilities
6423,1,1328696.332,High
6424,0,0,No polluting facilities
6425,0,0,No polluting facilities
6426,5,8080040.464,High
6427,2,4240344.728,High
6428,0,0,No polluting facilities
6429,5,3786230.929,High
6430,6,2356921.394,High
6431,16,54775038.1,High
6432,0,0,No polluting facilities
6434,4,2051272.867,High
6436,1,274.826,Low
6437,9,13561122.6,High
6438,10,7768644.933,High
6440,8,33793760.28,High
6442,3,503845.3551,Medium
6443,4,8885979.872,High
6445,0,0,No polluting facilities
6446,0,0,No polluting facilities
6447,0,0,No polluting facilities
6448,0,0,No polluting facilities
6450,6,3186612.1,High
6452,0,0,No polluting facilities
6460,0,0,No polluting facilities
6461,0,0,No polluting facilities
6462,0,0,No polluting facilities
6463,0,0,No polluting facilities
6465,0,0,No polluting facilities
6466,0,0,No polluting facilities
6467,0,0,No polluting facilities
6468,0,0,No polluting facilities
6470,0,0,No polluting facilities
6472,0,0,No polluting facilities
6473,0,0,No polluting facilities
6475,0,0,No polluting facilities
6476,0,0,No polluting facilities
6477,0,0,No polluting facilities
6479,0,0,No polluting facilities
6480,0,0,No polluting facilities
6484,0,0,No polluting facilities
6485,0,0,No polluting facilities
6487,0,0,No polluting facilities
6488,0,0,No polluting facilities
6489,0,0,No polluting facilities
6490,0,0,No polluting facilities
6501,2,526098.5824,High
6502,0,0,No polluting facilities
6503,2,129151.2551,Medium
6504,0,0,No polluting facilities
6505,0,0,No polluting facilities
6506,0,0,No polluting facilities
6507,2,6025931.386,High
6509,0,0,No polluting facilities
6510,0,0,No polluting facilities
6511,0,0,No polluting facilities
6512,0,0,No polluting facilities
6513,0,0,No polluting facilities
6514,0,0,No polluting facilities
6515,0,0,No polluting facilities
6516,0,0,No polluting facilities
6517,0,0,No polluting facilities
6518,2,379335.43,Medium
6519,1,17766.39,Medium
6521,0,0,No polluting facilities
6522,0,0,No polluting facilities
6525,4,578758.0673,High
6528,0,0,No polluting facilities
6530,2,154867.9823,Medium
6532,7,232358.6599,Medium
6535,1,140953.69,Medium
6536,0,0,No polluting facilities
6537,2,517603.217,High
6556,0,0,No polluting facilities
6558,0,0,No polluting facilities
6560,1,2063.750455,Low
6562,1,138795.7,Medium
6564,0,0,No polluting facilities
6566,0,0,No polluting facilities
6567,0,0,No polluting facilities
6568,0,0,No polluting facilities
6569,0,0,No polluting facilities
6571,0,0,No polluting facilities
6572,0,0,No polluting facilities
6574,0,0,No polluting facilities
6575,0,0,No polluting facilities
6603,0,0,No polluting facilities
6605,0,0,No polluting facilities
6606,0,0,No polluting facilities
6608,0,0,No polluting facilities
6609,0,0,No polluting facilities
6612,1,402779.0423,Medium
6613,0,0,No polluting facilities
6614,0,0,No polluting facilities
6616,0,0,No polluting facilities
6620,2,6268002.161,High
6623,0,0,No polluting facilities
6625,0,0,No polluting facilities
6627,0,0,No polluting facilities
6628,0,0,No polluting facilities
6630,2,70366.6995,Medium
6631,0,0,No polluting facilities
6632,1,119102.09,Medium
6635,4,3449981.618,High
6638,2,1474283.297,High
6639,0,0,No polluting facilities
6640,2,265829.2086,Medium
6642,10,8641814.958,High
6646,7,13031231.31,High
6701,5,463738.3173,Medium
6705,1,164283.04,Medium
6707,4,2997220.865,High
6710,5,1603632.058,High
6711,1,443380.941,Medium
6712,2,11686169.62,High
6713,1,2320877.394,High
6714,31,38741283.97,High
6716,2,3105303.613,High
6718,0,0,No polluting facilities
6720,0,0,No polluting facilities
6721,5,14782371.44,High
6722,13,8029329.173,High
6725,5,139145.3505,Medium
6726,0,0,No polluting facilities
6728,6,595861.0929,High
6731,0,0,No polluting facilities
6733,0,0,No polluting facilities
6740,1,46343.9396,Medium
6743,3,2393505.52,High
6751,15,61988831.54,High
6753,15,199441803.1,High
6754,0,0,No polluting facilities
6758,1,2930403.125,High
6760,2,2681082.923,High
6762,5,12213787.7,High
6765,1,13021.5,Medium
6770,3,609705.8292,High
6798,2,1289537.416,High
6799,2,111384.07,Medium
7000,2,156549.5679,Medium
7001,0,0,No polluting facilities
7004,3,21911.67344,Medium
7005,0,0,No polluting facilities
7007,0,0,No polluting facilities
7008,1,510.537369,Low
7009,1,474887.1,Medium
7010,2,43626.837270000004,Medium
7011,1,7729.707,Low
7012,0,0,No polluting facilities
7015,1,25619.46,Medium
7016,0,0,No polluting facilities
7017,0,0,No polluting facilities
7018,0,0,No polluting facilities
7019,0,0,No polluting facilities
7020,0,0,No polluting facilities
7021,0,0,No polluting facilities
7022,0,0,No polluting facilities
7023,0,0,No polluting facilities
7024,0,0,No polluting facilities
7025,0,0,No polluting facilities
7026,0,0,No polluting facilities
7027,0,0,No polluting facilities
7030,3,118158.3038,Medium
7050,0,0,No polluting facilities
7052,0,0,No polluting facilities
7053,0,0,No polluting facilities
7054,0,0,No polluting facilities
7055,0,0,No polluting facilities
7109,0,0,No polluting facilities
7112,0,0,No polluting facilities
7113,0,0,No polluting facilities
7116,1,14490.0178,Medium
7117,0,0,No polluting facilities
7119,0,0,No polluting facilities
7120,0,0,No polluting facilities
7139,0,0,No polluting facilities
7140,1,0.01,Low
7150,0,0,No polluting facilities
7155,0,0,No polluting facilities
7162,0,0,No polluting facilities
7163,0,0,No polluting facilities
7170,1,20627.85198,Medium
7171,0,0,No polluting facilities
7172,0,0,No polluting facilities
7173,0,0,No polluting facilities
7174,1,989.9224203,Low
7175,0,0,No polluting facilities
7176,0,0,No polluting facilities
7177,0,0,No polluting facilities
7178,0,0,No polluting facilities
7179,0,0,No polluting facilities
7180,0,0,No polluting facilities
7182,0,0,No polluting facilities
7183,0,0,No polluting facilities
7184,0,0,No polluting facilities
7185,0,0,No polluting facilities
7186,0,0,No polluting facilities
7187,0,0,No polluting facilities
7190,0,0,No polluting facilities
7209,0,0,No polluting facilities
7210,0,0,No polluting facilities
7211,0,0,No polluting facilities
7212,0,0,No polluting facilities
7213,0,0,No polluting facilities
7214,2,7870.30147,Low
7215,1,0.00784,Low
7216,0,0,No polluting facilities
7248,2,24812.48211,Medium
7249,1,212.7680557,Low
7250,3,167756.0487,Medium
7252,0,0,No polluting facilities
7253,7,6864152.645,High
7254,0,0,No polluting facilities
7255,1,36267.94737,Medium
7256,1,62504.3454,Medium
7257,0,0,No polluting facilities
7258,0,0,No polluting facilities
7259,0,0,No polluting facilities
7260,0,0,No polluting facilities
7261,0,0,No polluting facilities
7262,0,0,No polluting facilities
7263,0,0,No polluting facilities
7264,0,0,No polluting facilities
7265,0,0,No polluting facilities
7267,0,0,No polluting facilities
7268,0,0,No polluting facilities
7270,1,60551.934,Medium
7275,0,0,No polluting facilities
7276,0,0,No polluting facilities
7277,0,0,No polluting facilities
7290,0,0,No polluting facilities
7291,0,0,No polluting facilities
7292,0,0,No polluting facilities
7300,0,0,No polluting facilities
7301,2,45193.23644,Medium
7302,0,0,No polluting facilities
7303,2,3531.556229,Low
7304,1,528714.2643,High
7305,1,3622633.299,High
7306,1,46295.603,Medium
7307,1,36.77846977,Low
7310,4,281411.8817,Medium
7315,1,137067.8414,Medium
7316,1,3.2558,Low
7320,2,141889.5185,Medium
7321,4,4530722.776,High
7322,0,0,No polluting facilities
7325,2,17126.14876,Medium
7330,4,207274.9596,Medium
7331,0,0,No polluting facilities
7466,0,0,No polluting facilities
7467,0,0,No polluting facilities
7468,0,0,No polluting facilities
7469,1,377163.2869,Medium
7470,1,380030.0806,Medium
9494,0,0,No polluting facilities
9797,0,0,No polluting facilities
